id_kniznice,nazov_kniznice,ulica,psc,mesto,kraj,krajina,zemepisna_sirka,zemepisna_dlzka,cas_otvorenia
69,Ústřední knihovna - Suterén,Mariánské náměstí 98/1,115 72,Praha,Hlavní město Praha,Česká republika,50.08738,14.41738,Neuvedené
71,Ústřední knihovna - Pokladna sálů,Mariánské náměstí 98/1,115 72,Praha,Hlavní město Praha,Česká republika,50.08738,14.41738,Neuvedené
74,Mariánské náměstí,Mariánské náměstí 1,115 72,Praha,Hlavní město Praha,Česká republika,50.08738,14.41738,Neuvedené
2,Barrandov,Wassermannova 926/16,152 00,Praha,Hlavní město Praha,Česká republika,50.028402,14.36824,Neuvedené
5,Bohnice,Těšínská 600/4,181 00,Praha,Hlavní město Praha,Česká republika,50.128879,14.418651,Neuvedené
68,Brusnice - vzácné tisky,U Brusnice 324/9,16900,Praha,Hlavní město Praha,Česká republika,50.094008,14.392211,Neuvedené
6,Břevnov,Bělohorská 1666/56,169 00,Praha,Hlavní město Praha,Česká republika,50.084426,14.374038,Neuvedené
8,Cibulka,Musílkova 335/62,150 00,Praha,Hlavní město Praha,Česká republika,50.0676633,14.3665122,Neuvedené
11,Dědina,Žukovského 888/2,161 00,Praha,Hlavní město Praha,Česká republika,50.090728,14.308937,Neuvedené
12,Dejvice,Technická 2710/6,160 80,Praha,Hlavní město Praha,Česká republika,50.1039,14.3906,Neuvedené
15,Dittrichova,Dittrichova 1543/2,120 00,Praha,Hlavní město Praha,Česká republika,50.073719,14.416502,Neuvedené
67,DOK16 – Sousedská dílna,"Kobka č. 16, Hořejší nábřeží null",150 00,Praha,Hlavní město Praha,Česká republika,50.0685992,14.4115619,Neuvedené
38,Dům čtení (Ruská),Ruská 1455/192,10000,Praha,Hlavní město Praha,Česká republika,50.072703,14.483362,Neuvedené
16,Hloubětín,Hloubětínská 1138/5,198 00,Praha,Hlavní město Praha,Česká republika,50.1039175,14.5345767,Neuvedené
18,Hostivař,Golfová 910/10,102 00,Praha,Hlavní město Praha,Česká republika,50.049002,14.547006,Neuvedené
19,Hradčany,Pohořelec 111/25,118 00,Praha,Hlavní město Praha,Česká republika,50.088114,14.389788,Neuvedené
20,Chodov,Jírovcovo náměstí 1782/1,148 00,Praha,Hlavní město Praha,Česká republika,50.024191,14.491924,Neuvedené
66,Jezerka,Nuselská 603/94,140 00,Praha,Hlavní město Praha,Česká republika,50.0579253,14.4499814,Neuvedené
80,Kiosek CČM,Chlumecká 765/6,198 19,Praha,Hlavní město Praha,Česká republika,50.1073914,14.5846047,Neuvedené
89,Kiosek DBK,Budějovická 1667/64,140 00,Praha,Hlavní město Praha,Česká republika,50.0438903,14.4493061,Neuvedené
23,Kobylisy,Klapkova 26/3,182 00,Praha,Hlavní město Praha,Česká republika,50.124078,14.456115,Neuvedené
58,Kobylisy - Oddělení pro děti,Klapkova 26/3,182 00,Praha,Hlavní město Praha,Česká republika,50.124078,14.456115,Neuvedené
24,Korunní,Korunní 2160/68,100 00,Praha,Hlavní město Praha,Česká republika,50.075226,14.450153,Neuvedené
25,Krč,Štúrova 1282/12,140 00,Praha,Hlavní město Praha,Česká republika,50.023972,14.451789,Neuvedené
10,Ládví,Burešova 1661/2,182 00,Praha,Hlavní město Praha,Česká republika,50.127471,14.470279,Neuvedené
26,Letná,Milady Horákové 387/56,170 00,Praha,Hlavní město Praha,Česká republika,50.100157,14.425521,Neuvedené
27,Lužiny,Archeologická 2256/1,155 00,Praha,Hlavní město Praha,Česká republika,50.044235,14.331546,Neuvedené
65,Malešice,Počernická 524/64,108 00,Praha,Hlavní město Praha,Česká republika,50.0815736,14.5004947,Neuvedené
29,Modřany,Vazovova 3229/1,143 00,Praha,Hlavní město Praha,Česká republika,50.005798,14.433956,Neuvedené
30,Novodvorská,Novodvorská 1013/151,140 00,Praha,Hlavní město Praha,Česká republika,50.024844,14.432905,Neuvedené
31,Opatov,Opatovská 1754/14,140 00,Praha,Hlavní město Praha,Česká republika,50.025599,14.518434,Neuvedené
32,Ostrčilovo náměstí,Ostrčilovo nám. 518/1,120 00,Praha,Hlavní město Praha,Česká republika,50.065811,14.424764,Neuvedené
33,Ostrovského,Na Skalce 972/29,150 00,Praha,Hlavní město Praha,Česká republika,50.068359,14.400164,Neuvedené
50,Pankrác,Na Veselí 542/5,140 00,Praha,Hlavní město Praha,Česká republika,50.054391,14.438053,Neuvedené
